case,time_ms,travel_mm,W_N,P_N,W_raw_N,crest_lift_mm,tip_lift_mm,rotation_deg
extract_mu000,0.56700,0.014658,0.126495,0.061341,0.112902,0.005049,0.006426,0.06366
extract_mu000,0.57152,0.014989,0.110495,0.064635,0.042962,0.005576,0.007149,0.07199
extract_mu000,0.57602,0.015323,0.102221,0.069349,0.064833,0.006013,0.007678,0.07612
extract_mu000,0.58051,0.015662,0.103809,0.075549,0.024543,0.006422,0.008167,0.07981
extract_mu000,0.58502,0.016005,0.115329,0.081300,0.008854,0.006628,0.008366,0.08019
extract_mu000,0.58951,0.016353,0.134795,0.084021,0.088019,0.006834,0.008565,0.08057
extract_mu000,0.59401,0.016706,0.156360,0.084510,0.074275,0.007049,0.008854,0.08427
extract_mu000,0.59852,0.017064,0.168826,0.084412,0.295833,0.007265,0.009156,0.08837
extract_mu000,0.60302,0.017426,0.163462,0.086017,0.131847,0.007736,0.009792,0.09566
extract_mu000,0.60751,0.017792,0.146665,0.091548,0.071029,0.008330,0.010591,0.10449
extract_mu000,0.61201,0.018164,0.130490,0.100011,0.001256,0.008874,0.011294,0.11132
extract_mu000,0.61650,0.018539,0.123143,0.108672,0.165280,0.009354,0.011879,0.11569
extract_mu000,0.62102,0.018922,0.128031,0.114961,0.155253,0.009773,0.012382,0.11952
extract_mu000,0.62552,0.019307,0.144130,0.117483,0.000656,0.009975,0.012593,0.12140
extract_mu000,0.63001,0.019697,0.165829,0.117094,0.048153,0.010177,0.012806,0.12330
extract_mu000,0.63451,0.020092,0.182142,0.117344,0.185679,0.010544,0.013329,0.12953
extract_mu000,0.63900,0.020492,0.181275,0.121251,0.227900,0.010911,0.013853,0.13576
extract_mu000,0.64352,0.020899,0.163841,0.128983,0.077360,0.011517,0.014618,0.14295
extract_mu000,0.64802,0.021309,0.143866,0.139023,0.027267,0.012185,0.015445,0.15036
extract_mu000,0.65251,0.021723,0.134967,0.147893,0.070286,0.012706,0.016096,0.15632
extract_mu000,0.65701,0.022142,0.143994,0.152657,0.083413,0.013111,0.016612,0.16115
extract_mu000,0.66152,0.022567,0.169539,0.154062,0.039819,0.013465,0.017049,0.16533
extract_mu000,0.66601,0.022996,0.200103,0.154368,0.255279,0.013712,0.017331,0.16820
extract_mu000,0.67051,0.023430,0.219733,0.156728,0.258295,0.013997,0.017667,0.17157
extract_mu000,0.67501,0.023869,0.220629,0.163514,0.281953,0.014566,0.018419,0.17870
extract_mu000,0.67950,0.024313,0.204560,0.173444,0.292302,0.015134,0.019171,0.18582
extract_mu000,0.68402,0.024764,0.182113,0.183453,0.049246,0.015791,0.019997,0.19384
extract_mu000,0.68852,0.025219,0.169750,0.190658,0.053611,0.016455,0.020827,0.20193
extract_mu000,0.69301,0.025677,0.175936,0.193782,0.161760,0.016884,0.021381,0.20788
extract_mu000,0.69751,0.026141,0.199657,0.194293,0.160457,0.017199,0.021800,0.21281
extract_mu000,0.70200,0.026610,0.230917,0.195767,0.388468,0.017546,0.022232,0.21708
extract_mu000,0.70652,0.027086,0.251692,0.201010,0.513593,0.017935,0.022682,0.22058
extract_mu000,0.71102,0.027566,0.250600,0.209969,0.399350,0.018399,0.023243,0.22531
extract_mu000,0.71552,0.028051,0.232705,0.220916,0.375077,0.019124,0.024187,0.23428
extract_mu000,0.72002,0.028540,0.211609,0.230346,0.290901,0.019847,0.025128,0.24323
extract_mu000,0.72452,0.029035,0.202557,0.235456,0.137846,0.020416,0.025884,0.25196
extract_mu000,0.72902,0.029535,0.214994,0.237369,0.183316,0.020986,0.026641,0.26069
extract_mu000,0.73352,0.030040,0.244845,0.238546,0.401075,0.021351,0.027078,0.26483
extract_mu000,0.73801,0.030549,0.276829,0.241925,0.419333,0.021660,0.027428,0.26770
extract_mu000,0.74250,0.031064,0.296128,0.249896,0.457623,0.022127,0.027981,0.27195
extract_mu000,0.74702,0.031587,0.294149,0.260983,0.578474,0.022720,0.028698,0.27731
extract_mu000,0.75152,0.032113,0.273185,0.271821,0.302259,0.023376,0.029524,0.28477
extract_mu000,0.75602,0.032644,0.250575,0.279786,0.192951,0.024153,0.030567,0.29629
extract_mu000,0.76052,0.033179,0.243060,0.283695,0.258171,0.024892,0.031555,0.30727
extract_mu000,0.76501,0.033720,0.256778,0.284952,0.115439,0.025338,0.032144,0.31417
extract_mu000,0.76950,0.034266,0.289015,0.287221,0.285229,0.025784,0.032732,0.32106
extract_mu000,0.77402,0.034821,0.323789,0.293397,0.485319,0.026210,0.033186,0.32351
extract_mu000,0.77852,0.035378,0.342863,0.303207,0.409016,0.026630,0.033621,0.32543
extract_mu000,0.78302,0.035939,0.340412,0.314920,0.384363,0.027292,0.034461,0.33301
extract_mu000,0.78751,0.036507,0.321762,0.325382,0.347194,0.028072,0.035500,0.34337
extract_mu000,0.79201,0.037080,0.301055,0.331545,0.154010,0.028820,0.036502,0.35436
extract_mu000,0.79650,0.037657,0.295823,0.334426,0.057346,0.029529,0.037457,0.36613
extract_mu000,0.80100,0.038241,0.313405,0.336688,0.206715,0.030166,0.038300,0.37599
extract_mu000,0.80552,0.038832,0.345728,0.340880,0.273690,0.030553,0.038750,0.37916
extract_mu000,0.81001,0.039426,0.378394,0.349327,0.297461,0.030940,0.039198,0.38233
extract_mu000,0.81450,0.040025,0.396503,0.360998,0.490398,0.031575,0.039917,0.38701
extract_mu000,0.81902,0.040632,0.391555,0.372510,0.355047,0.032214,0.040640,0.39172
extract_mu000,0.82352,0.041242,0.372186,0.381342,0.185522,0.033034,0.041756,0.40419
extract_mu000,0.82801,0.041857,0.354892,0.386553,0.254349,0.033904,0.042981,0.41880
extract_mu000,0.83250,0.042478,0.352351,0.389287,0.093174,0.034606,0.043917,0.42948
extract_mu000,0.83700,0.043104,0.371993,0.392692,0.149373,0.035177,0.044628,0.43709
extract_mu000,0.84151,0.043737,0.406378,0.399625,0.392500,0.035715,0.045271,0.44280
extract_mu000,0.84600,0.044373,0.437407,0.409904,0.424168,0.036181,0.045772,0.44472
extract_mu000,0.85052,0.045020,0.452180,0.421751,0.488237,0.036697,0.046349,0.44776
extract_mu000,0.85502,0.045667,0.446319,0.432679,0.495093,0.037560,0.047459,0.45921
extract_mu000,0.85952,0.046321,0.426707,0.439967,0.372554,0.038423,0.048569,0.47067
extract_mu000,0.86401,0.046979,0.410700,0.444307,0.254901,0.039237,0.049713,0.48460
extract_mu000,0.86850,0.047643,0.413079,0.448254,0.301531,0.040045,0.050861,0.49883
extract_mu000,0.87302,0.048316,0.435577,0.453873,0.390456,0.040634,0.051577,0.50530
extract_mu000,0.87752,0.048991,0.469737,0.462949,0.462547,0.041112,0.052078,0.50797
extract_mu000,0.88202,0.049673,0.500326,0.474615,0.680977,0.041688,0.052731,0.51243
extract_mu000,0.88652,0.050359,0.511571,0.486043,0.681004,0.042380,0.053564,0.51902
extract_mu000,0.89102,0.051051,0.502276,0.495210,0.542542,0.043136,0.054513,0.52775
extract_mu000,0.89551,0.051747,0.483877,0.501532,0.571532,0.044109,0.055853,0.54372
extract_mu000,0.90001,0.052450,0.470394,0.506193,0.416252,0.045080,0.057191,0.55965
extract_mu000,0.90450,0.053158,0.476152,0.511694,0.381173,0.045733,0.058016,0.56772
extract_mu000,0.90902,0.053875,0.503125,0.520054,0.598768,0.046389,0.058845,0.57584
extract_mu000,0.91352,0.054594,0.537798,0.530861,0.640245,0.046962,0.059479,0.57967
